2025-12-30 23:12:05,078 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 10, 'acc': 0.9833333333333333, 'nmi': 0.928950368218712, 'ari': 0.9674597766683818, 'pur': 0.9833333333333333}
2025-12-30 23:13:21,482 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 130, 'acc': 0.9833333333333333, 'nmi': 0.9389020946899713, 'ari': 0.9666693863521553, 'pur': 0.9833333333333333}
2025-12-30 23:13:27,825 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 140, 'acc': 0.9666666666666667, 'nmi': 0.8987736274437453, 'ari': 0.9352845905073695, 'pur': 0.9666666666666667}
2025-12-30 23:13:33,910 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 150, 'acc': 0.975, 'nmi': 0.9037398424612662, 'ari': 0.9512536390512514, 'pur': 0.975}
2025-12-30 23:13:40,509 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 160, 'acc': 0.9833333333333333, 'nmi': 0.9389020946899713, 'ari': 0.9666693863521553, 'pur': 0.9833333333333333}
2025-12-30 23:13:46,647 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 170, 'acc': 0.9583333333333334, 'nmi': 0.8637822641513245, 'ari': 0.9203166582798566, 'pur': 0.9583333333333334}
2025-12-30 23:13:52,861 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 180, 'acc': 0.975, 'nmi': 0.9037398424612662, 'ari': 0.9512536390512514, 'pur': 0.975}
2025-12-30 23:13:59,169 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 190, 'acc': 0.9833333333333333, 'nmi': 0.9389020946899713, 'ari': 0.9666693863521553, 'pur': 0.9833333333333333}
2025-12-30 23:14:05,739 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 200, 'acc': 0.9833333333333333, 'nmi': 0.9389020946899713, 'ari': 0.9666693863521553, 'pur': 0.9833333333333333}
2025-12-30 23:14:22,067 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 10, 'acc': 0.6834532374100719, 'nmi': 0.631360546928909, 'ari': 0.5988091962367322, 'pur': 0.5251798561151079}
2025-12-30 23:14:29,104 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 20, 'acc': 0.7194244604316546, 'nmi': 0.646997419706896, 'ari': 0.6223536829734485, 'pur': 0.7194244604316546}
2025-12-30 23:14:36,313 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 30, 'acc': 0.7122302158273381, 'nmi': 0.6450858956788245, 'ari': 0.6101488041135377, 'pur': 0.7122302158273381}
2025-12-30 23:14:43,364 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 40, 'acc': 0.6762589928057554, 'nmi': 0.610079656817284, 'ari': 0.5853615171868827, 'pur': 0.6834532374100719}
2025-12-30 23:14:50,311 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 50, 'acc': 0.6762589928057554, 'nmi': 0.6316510078079546, 'ari': 0.5890435587458758, 'pur': 0.6906474820143885}
2025-12-30 23:14:57,480 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 60, 'acc': 0.6690647482014388, 'nmi': 0.602079198577319, 'ari': 0.5663583645305733, 'pur': 0.6762589928057554}
2025-12-30 23:15:04,373 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 70, 'acc': 0.6618705035971223, 'nmi': 0.5928448935996531, 'ari': 0.568320095207531, 'pur': 0.6690647482014388}
2025-12-30 23:15:11,234 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 80, 'acc': 0.6762589928057554, 'nmi': 0.61421023053867, 'ari': 0.5883820551084582, 'pur': 0.6834532374100719}
2025-12-30 23:15:18,290 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 90, 'acc': 0.6546762589928058, 'nmi': 0.5856370001056466, 'ari': 0.5576348075410587, 'pur': 0.6618705035971223}
2025-12-30 23:15:25,703 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 100, 'acc': 0.6546762589928058, 'nmi': 0.5816155827899677, 'ari': 0.5591485440717915, 'pur': 0.6618705035971223}
2025-12-30 23:15:32,743 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 110, 'acc': 0.6834532374100719, 'nmi': 0.6100845259397318, 'ari': 0.5892128085390259, 'pur': 0.6906474820143885}
2025-12-30 23:15:40,058 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 120, 'acc': 0.6618705035971223, 'nmi': 0.5834701408264131, 'ari': 0.5615259176090037, 'pur': 0.6690647482014388}
2025-12-30 23:15:46,942 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 130, 'acc': 0.6618705035971223, 'nmi': 0.5851915336927287, 'ari': 0.5620371124615109, 'pur': 0.6690647482014388}
2025-12-30 23:15:53,789 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 140, 'acc': 0.6546762589928058, 'nmi': 0.5763109310669742, 'ari': 0.5488156017969261, 'pur': 0.6618705035971223}
2025-12-30 23:16:00,641 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 150, 'acc': 0.6546762589928058, 'nmi': 0.5765784424502018, 'ari': 0.5479931357295957, 'pur': 0.6618705035971223}
2025-12-30 23:16:08,053 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 160, 'acc': 0.6546762589928058, 'nmi': 0.5867891888270648, 'ari': 0.556650080914298, 'pur': 0.6618705035971223}
2025-12-30 23:16:14,772 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 170, 'acc': 0.6546762589928058, 'nmi': 0.5704379011685211, 'ari': 0.5481381756091154, 'pur': 0.6618705035971223}
2025-12-30 23:16:21,971 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 180, 'acc': 0.6402877697841727, 'nmi': 0.5734296940629934, 'ari': 0.5389549867491019, 'pur': 0.6474820143884892}
2025-12-30 23:16:29,004 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 190, 'acc': 0.6474820143884892, 'nmi': 0.5741345565451045, 'ari': 0.5452537983312784, 'pur': 0.6474820143884892}
2025-12-30 23:16:36,020 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 200, 'acc': 0.6330935251798561, 'nmi': 0.558194347549521, 'ari': 0.524839963235887, 'pur': 0.6402877697841727}
